side,position,gamelength,gamelength,result,result,kills,deaths,assists,KDA,teamkills,teamdeaths,team assist,damageshare,golddiffat10,golddiffat15,totalgold,totalgolddiff,teamgolddiff
Blue,sup,2265,37.75,1,win,2,1,7,9.00,14,7,35,0.0489516,-23,-271,8421,235,3379
Red,top,2265,37.75,0,loss,3,4,2,1.25,7,14,14,0.235246,182,912,15942,2720,-3379
Red,jng,2265,37.75,0,loss,0,4,3,0.75,7,14,14,0.111367,288,507,11185,-1403,-3379
Red,mid,2265,37.75,0,loss,1,2,3,2.00,7,14,14,0.319846,-209,26,13696,-3685,-3379
Red,bot,2265,37.75,0,loss,3,1,4,7.00,7,14,14,0.275309,-137,215,12881,-776,-3379
Red,sup,2265,37.75,0,loss,0,3,2,0.67,7,14,14,0.0582323,23,271,8186,-235,-3379
Blue,top,1225,20.42,1,win,1,2,7,4.00,19,3,43,0.166733,366,371,6778,-182,13363
Blue,jng,1225,20.42,1,win,8,0,9,17.00,19,3,43,0.299855,1441,1640,9784,3267,13363
Blue,mid,1225,20.42,1,win,5,0,7,12.00,19,3,43,0.17837,1157,1456,9418,3672,13363
Blue,bot,1225,20.42,1,win,5,1,8,13.00,19,3,43,0.282884,655,3105,10720,4728,13363
Blue,sup,1225,20.42,1,win,0,0,12,12.00,19,3,43,0.072159,290,1227,5947,1878,13363
Red,top,1225,20.42,0,loss,1,2,1,1.00,3,19,7,0.263004,-366,-371,6960,182,-13363
Red,jng,1225,20.42,0,loss,2,4,1,0.75,3,19,7,0.239773,-1441,-1640,6517,-3267,-13363
Red,mid,1225,20.42,0,loss,0,5,1,0.20,3,19,7,0.146679,-1157,-1456,5746,-3672,-13363
Red,bot,1225,20.42,0,loss,0,5,2,0.40,3,19,7,0.228835,-655,-3105,5992,-4728,-13363
Red,sup,1225,20.42,0,loss,0,3,2,0.67,3,19,7,0.121709,-290,-1227,4069,-1878,-13363
Blue,top,1720,28.67,0,loss,0,5,7,1.40,9,29,24,0.270961,-2134,-2455,8174,-3569,-16136
Blue,jng,1720,28.67,0,loss,2,7,5,1.00,9,29,24,0.165819,-1116,-1938,8187,-3536,-16136
Blue,mid,1720,28.67,0,loss,5,2,2,3.50,9,29,24,0.327298,155,384,11213,-1012,-16136
Blue,bot,1720,28.67,0,loss,1,9,5,0.67,9,29,24,0.147328,-1568,-3435,8917,-6040,-16136
Blue,sup,1720,28.67,0,loss,1,6,5,1.00,9,29,24,0.0885936,-812,-866,6259,-1979,-16136
